,reqId,date,open,high,low,close,volume,count,WAP,hasGaps
334,9000,20170429  01:30:00,2380.25,2382.25,2380.0,2380.5,98851,5213,2381.1,False
335,9000,20170429  02:00:00,2381.0,2381.0,2379.5,2380.75,7070,822,2380.1,False
336,9000,20170501  03:30:00,2381.5,2381.5,2377.0,2378.25,8066,1472,2379.05,False
337,9000,20170501  04:30:00,2378.5,2378.75,2378.0,2378.75,2134,572,2378.275,False
338,9000,20170501  05:30:00,2378.75,2380.0,2378.5,2379.25,3619,877,2379.5,False
339,9000,20170501  06:30:00,2379.5,2383.0,2378.5,2381.75,8040,1457,2381.25,False
340,9000,20170501  07:30:00,2381.75,2382.5,2381.25,2381.5,2887,917,2381.975,False
341,9000,20170501  08:30:00,2381.5,2382.25,2381.25,2381.75,1560,381,2381.7,False
342,9000,20170501  09:30:00,2381.75,2382.25,2381.75,2382.0,584,186,2382.05,False
343,9000,20170501  10:30:00,2382.0,2382.75,2381.75,2382.75,1013,235,2382.35,False
344,9000,20170501  11:30:00,2382.75,2384.75,2382.5,2384.0,4411,968,2383.7,False
345,9000,20170501  12:30:00,2384.0,2384.0,2382.75,2383.5,1787,401,2383.45,False
346,9000,20170501  13:30:00,2383.75,2384.5,2383.25,2383.5,1173,294,2383.95,False
347,9000,20170501  14:30:00,2383.5,2384.5,2383.5,2384.0,952,215,2383.975,False
348,9000,20170501  15:30:00,2384.0,2385.75,2384.0,2384.75,4644,799,2385.1,False
349,9000,20170501  16:30:00,2385.0,2385.25,2384.5,2385.0,3324,509,2384.95,False
350,9000,20170501  17:30:00,2385.25,2387.5,2385.0,2385.75,15920,2264,2386.475,False
351,9000,20170501  18:30:00,2385.75,2386.25,2383.25,2384.0,74522,8665,2384.775,False
352,9000,20170501  19:30:00,2384.0,2387.5,2380.75,2386.5,132651,12868,2383.675,False
353,9000,20170501  20:30:00,2386.5,2387.5,2384.75,2386.25,87258,7301,2386.125,False
354,9000,20170501  21:30:00,2386.25,2387.5,2381.25,2384.5,117772,10039,2385.2,False
355,9000,20170501  22:30:00,2384.5,2389.25,2383.75,2389.25,72579,7449,2386.3,False
356,9000,20170501  23:30:00,2389.0,2390.75,2387.5,2388.25,117303,10132,2389.275,False
357,9000,20170502  00:30:00,2388.25,2390.25,2385.0,2385.75,155200,12312,2387.675,False
358,9000,20170502  01:30:00,2385.5,2387.25,2385.0,2387.0,74503,4886,2385.75,False
359,9000,20170502  02:00:00,2386.75,2387.25,2385.75,2386.75,4789,566,2386.7,False
360,9000,20170502  03:30:00,2386.25,2387.5,2385.5,2386.75,4623,752,2386.4,False
361,9000,20170502  04:30:00,2386.75,2387.0,2386.25,2386.25,1140,262,2386.525,False
362,9000,20170502  05:30:00,2386.25,2388.0,2386.0,2388.0,4828,1065,2386.75,False
363,9000,20170502  06:30:00,2388.0,2388.25,2385.0,2385.25,6252,1232,2386.5,False
364,9000,20170502  07:30:00,2385.25,2386.5,2385.25,2386.0,3501,540,2385.85,False
365,9000,20170502  08:30:00,2386.0,2386.25,2385.25,2385.75,1748,464,2385.625,False
366,9000,20170502  09:30:00,2386.0,2386.25,2385.25,2385.75,1505,479,2385.75,False
367,9000,20170502  10:30:00,2385.75,2386.0,2384.25,2384.25,4621,834,2385.0,False
368,9000,20170502  11:30:00,2384.25,2386.5,2384.25,2386.5,5965,1118,2385.475,False
369,9000,20170502  12:30:00,2386.5,2386.75,2384.25,2386.25,13030,2098,2385.65,False
370,9000,20170502  13:30:00,2386.0,2386.25,2384.25,2384.75,9304,1540,2385.1,False
371,9000,20170502  14:30:00,2384.75,2387.0,2384.5,2386.25,9384,1137,2385.75,False
372,9000,20170502  15:30:00,2386.5,2386.75,2384.5,2385.5,5931,1044,2385.5,False
373,9000,20170502  16:30:00,2385.5,2386.0,2385.0,2386.0,4910,859,2385.5,False
374,9000,20170502  17:30:00,2386.0,2387.25,2385.5,2387.25,13729,1651,2386.55,False
375,9000,20170502  18:30:00,2387.25,2388.75,2382.25,2382.25,159738,15167,2385.7,False
376,9000,20170502  19:30:00,2382.5,2385.0,2381.75,2383.25,127303,13410,2383.475,False
377,9000,20170502  20:30:00,2383.25,2385.0,2382.5,2384.5,95848,9157,2383.8,False
378,9000,20170502  21:30:00,2384.5,2388.0,2384.25,2387.0,101889,8420,2386.525,False
379,9000,20170502  22:30:00,2387.0,2387.75,2385.0,2385.5,59409,5689,2386.275,False
380,9000,20170502  23:30:00,2385.25,2386.75,2382.75,2383.5,89492,8195,2384.9,False
381,9000,20170503  00:30:00,2383.5,2387.0,2382.5,2386.75,163853,10756,2385.15,False
382,9000,20170503  01:30:00,2386.5,2387.25,2385.5,2386.0,52049,3487,2386.5,False
383,9000,20170503  02:00:00,2386.0,2386.25,2384.0,2384.75,7900,1417,2384.8,False
384,9000,20170503  03:30:00,2384.0,2385.0,2382.25,2384.75,4656,709,2383.6,False
385,9000,20170503  04:30:00,2384.75,2385.25,2384.25,2384.75,1248,218,2384.775,False
386,9000,20170503  05:30:00,2384.5,2385.0,2384.25,2384.75,1853,458,2384.65,False
387,9000,20170503  06:30:00,2385.0,2385.0,2384.0,2384.25,1649,388,2384.425,False
